order_id,customer_id,order_date,product_category,cost_price,selling_price,quantity,customer_city,total_cost,total_revenue,profit,profit_margin_pct
ORD008679,CUST01125,2024-01-01,Home & Kitchen,2131.93,2910.04,1,Kolkata,2131.93,2910.04,778.11,26.74
ORD005576,CUST00729,2024-01-01,Groceries,755.24,811.22,2,Mumbai,1510.48,1622.44,111.96,6.9
ORD011400,CUST01487,2024-01-01,Sports,2074.23,2937.15,1,Bengaluru,2074.23,2937.15,862.92,29.38
ORD014184,CUST01862,2024-01-01,Beauty,155.96,302.2,1,Pune,155.96,302.2,146.24,48.39
ORD002460,CUST00321,2024-01-01,Sports,1771.08,2257.29,1,Jaipur,1771.08,2257.29,486.21,21.54
ORD002453,CUST00319,2024-01-01,Apparel,1816.68,2954.5,1,Bengaluru,1816.68,2954.5,1137.82,38.51
ORD009081,CUST01173,2024-01-01,Sports,3136.5,4193.74,4,Delhi,12546.0,16774.96,4228.96,25.21
ORD003590,CUST00456,2024-01-01,Groceries,707.56,782.39,1,Delhi,707.56,782.39,74.83,9.56
ORD002442,CUST00316,2024-01-01,Electronics,12709.72,14283.91,1,Delhi,12709.72,14283.91,1574.19,11.02
ORD013440,CUST01760,2024-01-01,Home & Kitchen,1777.44,2526.0,1,Ahmedabad,1777.44,2526.0,748.56,29.63
ORD011432,CUST01492,2024-01-01,Groceries,176.34,194.84,1,Pune,176.34,194.84,18.5,9.49
ORD011440,CUST01492,2024-01-01,Groceries,581.56,650.77,1,Pune,581.56,650.77,69.21,10.64
ORD009879,CUST01299,2024-01-01,Apparel,1106.81,1951.78,2,Bengaluru,2213.62,3903.56,1689.94,43.29
ORD015060,CUST01990,2024-01-01,Sports,3163.37,4449.88,1,Jaipur,3163.37,4449.88,1286.51,28.91
ORD012257,CUST01606,2024-01-01,Apparel,1166.84,2056.73,4,Mumbai,4667.36,8226.92,3559.56,43.27
ORD007531,CUST00995,2024-01-01,Apparel,598.72,913.49,1,Delhi,598.72,913.49,314.77,34.46
ORD004402,CUST00543,2024-01-01,Apparel,457.85,721.19,2,Ahmedabad,915.7,1442.38,526.68,36.51
ORD012871,CUST01675,2024-01-01,Groceries,411.2,455.19,2,Pune,822.4,910.38,87.98,9.66
ORD001036,CUST00137,2024-01-01,Apparel,979.41,1661.5,1,Delhi,979.41,1661.5,682.09,41.05
ORD002608,CUST00343,2024-01-01,Apparel,559.46,938.07,1,Delhi,559.46,938.07,378.61,40.36
ORD002586,CUST00339,2024-01-01,Home & Kitchen,682.06,932.46,1,Delhi,682.06,932.46,250.4,26.85
ORD005648,CUST00737,2024-01-01,Home & Kitchen,362.25,501.9,2,Lucknow,724.5,1003.8,279.3,27.82
